word	frequency
½	2
month	55
security	24
deposit	2
•10	1
traffic	26
stop	100
for	1878
violation	10
$	66
16	38
price	61
target	19
18	35
catch	48
a	6147
wildlife	9
race	48
1	252
everything	102
be	10348
totally	35
free	104
235	2
25	34
2	195
choose	43
theme	16
write	72
every	159
single	29
day	235
3	93
acknowledge	3
her	396
hard	106
work	374
break	75
up	215
the	9594
text	12
crank	1
down	73
air	29
condition	34
develop	14
your	551
core	11
strength	12
pass	75
through	108
fine	29
strainer	1
13thhole	1
approach	42
use	163
sound	50
judgment	3
common	34
sense	39
4	72
happy	72
tree	30
make	405
healthy	21
lifestyle	7
choice	54
5	62
understand	71
school	179
’s	1529
policy	27
6	47
life	163
insurance	31
coverage	12
76	4
7	30
time	373
management	29
skill	11
secure	9
datum	9
8	33
ask	101
about	510
emergency	16
care	76
14	45
year	321
old	101
male	8
hospitalize	6
17	25
boy	33
allegedly	6
threaten	12
another	199
man	143
with	1127
knife	8
3d	1
movie	32
by	694
jean	4
luc	1
godard	1
50p	1
book	75
fee	35
apply	23
per	24
transaction	7
648	1
mile	12
mission	24
to	2264
exact	12
aaa	2
rescue	9
aadhaar	1
will	1137
provide	118
identity	11
aaron	4
coash	1
and	1657
wyatt	2
lange	2
have	2836
three	146
each	138
enjoy	103
camp	25
fish	30
ride	27
bike	8
bachelor	1
degree	19
prefer	16
bad	65
sanitation	1
report	118
can	902
cause	63
failure	16
bar	31
alcohol	18
bat	10
infestation	1
close	74
build	87
extermination	1
abbey	1
jackson	21
add	132
six	60
point	231
abbie	1
shera	1
12	42
dig	41
bruins	2
abbott	1
in	2391
his	507
opinion	24
piece	44
abby	4
also	712
creative	11
athletic	4
abdullah	2
run	180
172	1
yard	59
on	1185
22	28
carry	29
two	269
touchdown	21
abe	2
putt	6
existential	3
question	135
before	72
all	573
humankind	1
aberdeen	2
asset	10
plc	2
lon	1
adn	1
open	147
at	961
296.3000	1
tuesday	48
abernathy	1
active	22
community	120
bicycle	8
steal	17
from	510
bidder	2
hold	95
paddle	2
high	110
abigaile	1
sommerville	1
miss	93
abigail	1
mccracken	1
pace	10
comets	2
eight	39
kill	82
block	43
big	162
change	225
of	2299
scenery	4
overnight	5
emphasis	4
education	30
lie	24
indeed	32
pantry	3
offer	97
additional	23
storage	18
billion	11
dollar	13
tax	32
increase	45
not	1997
solution	32
bin	3
would	341
great	277
blue	23
pair	16
star	27
taxidriver	1
front	29
page	27
news	85
boat	9
launch	17
north	25
marina	5
body	33
double	58
recruit	8
find	220
neighbourhood	3
joe	18
brown	23
park	96
boil	4
water	82
advisory	1
effect	32
abortion	5
murder	23
baby	23
service	121
include	99
boundary	7
some	319
sort	18
need	374
create	57
150	9
participant	11
invite	18
seminar	4
300	9
coach	61
involve	33
000	29
worker	23
employ	26
cleanup	2
half	32
pay	82
zero	3
above	41
he	1721
entrepreneur	4
thing	213
box	28
gym	6
fantastic	23
horse	14
abrahams	1
deny	25
any	185
political	31
interference	2
probe	2
brand	12
new	262
gogo	1
dog	37
breach	5
breast	3
pump	7
maine	2
medical	49
center	73
breath	5
fresh	27
brilliant	18
move	86
brisk	2
daily	25
walk	56
cover	33
rest	34
finger	5
brother	31
rowan	2
absolutely	41
it	3373
real	91
possibility	18
no	629
ability	7
govern	4
very	433
few	34
ingredient	5
abstract	2
ink	3
drawing	3
master	8
little	88
practice	34
abu	3
bakr	1
al	15
baghdadi	2
criminal	18
abubakr	1
bury	4
thursday	54
building	13
committee	24
meeting	15
11	26
19	28
seat	21
informal	1
meal	21
jamal	1
shoot	70
chest	7
officer	56
bullet	1
shatter	3
marm	1
jaw	4
process	86
abused	1
child	102
normal	20
upbringing	2
bush	12
spokeswoman	1
immediate	15
comment	69
business	122
weekly	11
publish	17
friday	52
busy	18
cabin	2
fever	2
picnic	6
agendum	13
academia	1
never	242
exception	10
cafe	3
greyhound	1
bus	11
caller	5
fire	85
wood	21
candle	3
light	65
vigil	1
organize	5
card	27
game	218
between	33
inmate	3
case	94
register	26
against	54
him	177
accentuate	1
negative	13
access	28
door	53
into	228
garage	10
accessed	1
off	94
private	36
lane	17
accessible	7
area	100
available	114
accessorize	1
bare	5
shoulder	9
look	206
minimally	2
out	189
rear	14
garden	37
here	267
escape	12
en	7
suite	14
shower	14
room	68
understairs	3
recess	5
accidents	1
trigger	4
variety	19
way	169
accolades	1
quickly	31
follow	146
accommodations	1
base	25
individual	35
accompaniment	1
military	23
band	31
accordingly	4
long	121
ball	27
