word_x	word_y	f_xy	f_x	f_y	pmi
navin	fluorine	3	3	3	15.024677973715656
alto	palo	3	3	3	15.024677973715656
817	515	3	3	3	15.024677973715656
mai	chiang	3	4	3	14.609640474436812
feng	shui	3	4	3	14.609640474436812
linwood	basehor	3	4	3	14.609640474436812
cola	coca	4	5	4	14.287712379549449
getty	images	4	5	4	14.287712379549449
hong	kong	5	5	5	14.287712379549449
aliyev	ilham	3	5	3	14.287712379549449
krista	coffell	4	5	4	14.287712379549449
rouge	baton	3	3	5	14.287712379549449
notre	dame	6	6	6	14.024677973715656
howison	hogg	6	6	6	14.024677973715656
courier	calmar	3	6	3	14.024677973715656
hors	d’oeuvres	4	6	4	14.024677973715656
sri	lanka	5	6	5	14.024677973715656
katrina	kaif	3	7	3	13.802285552379209
cutter	cookie	3	3	7	13.802285552379209
des	moines	3	7	3	13.802285552379209
bin	laden	3	7	3	13.802285552379209
hendrix	sloan	4	6	5	13.702749878828293
slater	hogg	6	8	6	13.609640474436812
howison	slater	6	6	8	13.609640474436812
petit	larceny	4	4	8	13.609640474436812
38105	jude	3	3	8	13.609640474436812
wal	mart	8	8	8	13.609640474436812
rica	costa	6	7	7	13.579893131042759
marjorie	baumgarten	7	9	7	13.4397154729945
roller	coaster	3	7	4	13.387248053100365
memphis	38105	3	10	3	13.287712379549449
na	gon	8	10	8	13.287712379549449
malicious	mischief	3	4	8	13.194602975157968
carbon	dioxide	3	11	3	13.150208855799514
ceres	relay	3	5	7	13.065319958213001
elaine	quilici	3	12	3	13.024677973715656
puerto	rico	6	9	8	13.024677973715656
mesh	strainer	4	7	7	12.994930630321603
vegas	las	8	9	11	12.980283854357202
claire	eau	8	13	8	12.90920075629572
clarity	edit	4	6	9	12.854752972273344
grandparent	paternal	5	14	5	12.802285552379209
grandparent	maternal	3	14	3	12.802285552379209
discharge	honorably	3	14	3	12.802285552379209
manor	parkview	3	11	4	12.73517135652067
k2	quinn	3	4	11	12.73517135652067
niece	nephew	3	5	9	12.702749878828293
oliver	vanessa	3	12	4	12.609640474436812
concur	justices	3	8	6	12.609640474436812
mt	juliet	3	16	3	12.609640474436812
marc	savlov	8	17	8	12.522177633186471
suite	en	3	14	4	12.387248053100365
petit	66	3	4	14	12.387248053100365
flip	flop	3	15	4	12.287712379549449
cloakroom	wc	3	10	6	12.287712379549449
grill	preheat	3	21	3	12.21732305165805
hundred	unintentional	5	18	6	12.176681067160706
steel	stainless	3	14	5	12.065319958213001
feed	rss	3	24	3	12.024677973715656
19th	century	3	5	15	11.965784284662087
tale	cautionary	3	19	4	11.946675461714383
ken	lieck	3	26	3	11.90920075629572
verify	independently	4	13	8	11.90920075629572
multi	instrumentalist	3	26	3	11.90920075629572
mosquito	virus	3	6	13	11.90920075629572
kim	kardashian	3	20	4	11.872674880270605
pearl	harbor	3	8	10	11.872674880270605
memphis	jude	3	10	8	11.872674880270605
optimistic	cautiously	3	20	4	11.872674880270605
ted	simons	3	21	4	11.802285552379209
al	qaeda	3	29	3	11.75165947930924
donations	p.o	3	22	4	11.73517135652067
rack	nerve	4	10	12	11.702749878828293
sarah	palin	3	30	3	11.702749878828293
fridge	freezer	6	14	13	11.686808334959272
accessible	wheelchair	6	23	8	11.671041019100954
fuel	fossil	4	31	4	11.655444164049937
springs	excelsior	3	24	4	11.609640474436812
angeles	los	28	28	33	11.565246355078358
burst	bubble	3	10	10	11.550746785383243
wheel	reinvent	6	25	8	11.550746785383243
ronald	reagan	3	10	10	11.550746785383243
lone	dissenter	3	20	5	11.550746785383243
guilty	plead	7	18	13	11.546630676911011
hop	hip	8	15	18	11.53282487738598
highway	yakima	3	34	3	11.522177633186471
pro	tem	4	34	4	11.522177633186471
for-3	rbis	4	8	17	11.522177633186471
holy	thou	3	26	4	11.494163257016876
sales	lettings	4	20	7	11.480357457491845
legally	bind	3	9	12	11.4397154729945
silence	deafen	3	36	3	11.4397154729945
alarm	unintentional	5	31	6	11.392409758216143
mesh	strain	3	7	16	11.387248053100365
66	larceny	3	14	8	11.387248053100365
strainer	strain	3	7	16	11.387248053100365
t	canâ€	3	38	3	11.361712960993227
columbia	filed	3	19	6	11.361712960993227
fairy	tale	3	6	19	11.361712960993227
butter	melt	4	14	11	11.34285393374191
k2	patrick	3	4	29	11.336621980030396
pallbearer	honorary	6	13	18	11.324238255574564
santa	claus	3	39	3	11.324238255574564
sales	results	7	20	14	11.287712379549449
bernie	sanders	5	12	17	11.259143227352679
tip	iceberg	5	41	5	11.252088469818728
ridge	walnut	12	29	17	11.249159138780056
la	grange	3	19	7	11.139320539656778
download	app	5	16	14	11.12421364726657
for-4	rbis	3	8	17	11.10714013390763
objective	upside	8	28	13	11.101845834238116
anniversary	15th	3	23	6	11.086078518379798
singer	songwriter	4	23	8	11.086078518379798
pet	peeve	5	47	5	11.055051622759175
pallbearer	serving	3	13	11	11.03473163837958
brush	pastry	3	16	9	11.024677973715656
yale	haven	3	9	16	11.024677973715656
taco	bell	3	6	24	11.024677973715656
cupboard	built	3	29	5	11.014693885143034
upside	indicate	4	13	15	11.002310160687202
santa	fe	4	39	5	11.002310160687202
pend	charges	4	22	9	10.980283854357202
™	canâ€	3	50	3	10.965784284662087
™	heâ€	3	50	3	10.965784284662087
™	weâ€	4	50	4	10.965784284662087
™	thatâ€	4	50	4	10.965784284662087
™	iâ€	7	50	7	10.965784284662087
™	itâ€	8	50	8	10.965784284662087
s	thatâ€	4	51	4	10.937215132465315
s	heâ€	3	51	3	10.937215132465315
s	itâ€	8	51	8	10.937215132465315
arrangement	entrust	3	39	4	10.90920075629572
children	38105	3	52	3	10.90920075629572
upvc	glaze	8	19	22	10.902281342355929
clark	camden	4	42	5	10.895394956770689
cruise	caribbean	3	16	10	10.872674880270605
eagle	scout	4	18	12	10.854752972273344
via	shutterstock	11	51	12	10.811684250381457
marketed	howison	6	56	6	10.802285552379209
marketed	hogg	6	56	6	10.802285552379209
marketed	lettings	7	56	7	10.802285552379209
jones	kimberley	3	58	3	10.75165947930924
theft	petty	6	39	9	10.739275754853407
p.m	2:30	3	59	3	10.72699742507497
square	moderator	18	51	21	10.714822711128868
british	filed	3	30	6	10.702749878828293
bull	pit	3	18	10	10.702749878828293
nc	memorials	4	6	40	10.702749878828293
50	navin	3	60	3	10.702749878828293
50	fluorine	3	60	3	10.702749878828293
avid	collector	3	26	7	10.686808334959272
2008	courtland	3	62	3	10.655444164049937
santa	clara	5	39	8	10.646166350461925
box	p.o	4	63	4	10.632360550936895
column	lieck	3	64	3	10.609640474436812
san	diego	8	57	9	10.606825458829757
wrongdoing	accuse	3	15	13	10.587272661408358
trinity	lutheran	7	17	27	10.574645053080609
moving	navin	3	66	3	10.565246355078358
moving	07	3	66	3	10.565246355078358
salt	pepper	5	30	11	10.565246355078358
moving	fluorine	3	66	3	10.565246355078358
moving	jul	5	66	5	10.565246355078358
cream	sour	4	30	9	10.53282487738598
importance	overstate	3	29	7	10.529267057972792
officiate	reverend	3	51	4	10.522177633186471
san	francisco	14	57	17	10.496642541079336
athens	herald	3	13	16	10.494163257016876
moving	sep	18	66	19	10.487243843077085
mechanical	engineer	4	7	40	10.480357457491845
mental	illness	7	33	15	10.465710681527444
san	pedro	4	57	5	10.454822365384707
maintain	innocence	3	43	5	10.446410125568507
arrangements	incomplete	3	27	8	10.4397154729945
access	loft	8	64	9	10.4397154729945
guilty	pleasure	3	18	12	10.4397154729945
valley	yakima	3	73	3	10.419815915556795
perishable	item	3	3	73	10.419815915556795
areas	ltd	5	16	23	10.408006613267162
marketed	slater	6	56	8	10.387248053100365
excitement	palpable	3	32	7	10.387248053100365
expectation	exceed	4	38	8	10.361712960993227
commerce	chamber	11	28	30	10.354826575407987
journalist	freelance	3	21	11	10.34285393374191
romantic	comedy	4	14	22	10.34285393374191
exercise	futility	3	58	4	10.336621980030396
roll	heads	3	79	3	10.305859726259708
goaltender	shot	3	4	60	10.287712379549449
born	1934	3	40	6	10.287712379549449
lodge	detention	5	27	15	10.269790471552186
press	associated	10	81	10	10.269790471552186
falls	wichita	4	27	12	10.269790471552186
pound	weigh	13	44	24	10.26568607321945
children	jude	5	52	8	10.231128851183081
