word_x	word_y	f_xy	f_x	f_y	pmi
rhode	island	3	3	4	10.80473605161403
variety	teen	3	4	3	10.80473605161403
los	angeles	4	4	4	10.80473605161403
objective	stock	3	3	5	10.482807956726667
chamber	commerce	3	4	4	10.389698552335187
mile	teen	3	6	3	10.219773550892874
mistake	productive	3	5	4	10.067770457447823
outstanding	achievement	3	5	4	10.067770457447823
13	baker	3	7	3	9.997381129556427
13	scorer	3	7	3	9.997381129556427
pet	suspect	3	6	4	9.80473605161403
exchange	suspect	3	6	4	9.80473605161403
mile	variety	3	6	4	9.80473605161403
baker	former	3	3	8	9.80473605161403
waste	workout	3	9	3	9.634811050171718
average	moving	5	9	5	9.634811050171718
bank	producer	3	9	3	9.634811050171718
bright	sustainable	3	7	4	9.582343630277583
effect	suspect	3	7	4	9.582343630277583
producer	thursday	3	3	10	9.482807956726667
50	moving	3	6	5	9.482807956726667
cream	ice	3	5	6	9.482807956726667
brother	sister	4	8	5	9.482807956726667
resident	lifelong	4	10	4	9.482807956726667
blue	vision	3	4	8	9.389698552335187
quarter	producer	3	11	3	9.345304432976732
12	baker	3	11	3	9.345304432976732
quarter	llc	3	11	3	9.345304432976732
12	moody	3	11	3	9.345304432976732
mother	homemaker	3	11	3	9.345304432976732
agreement	fix	3	5	7	9.26041553539022
tackle	seriously	3	5	7	9.26041553539022
oct	moving	3	7	5	9.26041553539022
brandon	conduct	3	5	7	9.26041553539022
round	suspect	3	9	4	9.219773550892874
20	suspect	3	9	4	9.219773550892874
31	oct	4	7	7	9.190026207498821
general	producer	3	13	3	9.104296333472938
parent	baker	3	13	3	9.104296333472938
parent	moody	3	13	3	9.104296333472938
30	moving	5	13	5	9.104296333472938
guess	mom	3	8	5	9.067770457447823
positive	agreement	3	8	5	9.067770457447823
store	suspect	3	10	4	9.067770457447823
dinner	suspect	3	10	4	9.067770457447823
baptist	notice	3	5	8	9.067770457447823
driver	male	4	9	6	9.049848549450562
national	arlington	3	14	3	8.997381129556427
double	telephone	3	14	3	8.997381129556427
host	wilson	3	7	6	8.997381129556427
martin	co	3	6	7	8.997381129556427
50	oct	3	6	7	8.997381129556427
baker	11	3	3	14	8.997381129556427
moody	11	3	3	14	8.997381129556427
24	wilson	3	7	6	8.997381129556427
task	early	3	6	7	8.997381129556427
march	baker	3	14	3	8.997381129556427
player	teen	3	14	3	8.997381129556427
12	personality	3	11	4	8.930266933697888
private	tunnel	3	11	4	8.930266933697888
john	richard	3	11	4	8.930266933697888
quarter	stake	3	11	4	8.930266933697888
april	baker	3	15	3	8.897845456005511
top	producer	3	15	3	8.897845456005511
april	1936	3	15	3	8.897845456005511
scorer	nine	3	3	15	8.897845456005511
reveal	approach	3	3	15	8.897845456005511
bank	beer	3	9	5	8.897845456005511
hour	teen	3	15	3	8.897845456005511
july	baker	3	15	3	8.897845456005511
hour	decade	3	15	3	8.897845456005511
july	moody	3	15	3	8.897845456005511
sept	20	4	7	9	8.827456128114113
crime	safe	3	6	8	8.80473605161403
sleep	importance	3	8	6	8.80473605161403
activity	hang	3	8	6	8.80473605161403
position	producer	3	16	3	8.80473605161403
23	charles	3	8	6	8.80473605161403
22	2014	3	6	8	8.80473605161403
pack	station	3	8	6	8.80473605161403
potential	previous	3	7	7	8.774988708219977
24	host	3	7	7	8.774988708219977
conduct	13	3	7	7	8.774988708219977
conduct	effect	3	7	7	8.774988708219977
effect	treat	3	7	7	8.774988708219977
management	quarter	4	6	11	8.760341932255576
outstanding	thursday	3	5	10	8.745842362560461
arrest	baker	3	17	3	8.717273210363691
fund	teen	3	17	3	8.717273210363691
overall	honor	3	13	4	8.689258834194094
routine	son	3	4	13	8.689258834194094
video	suspect	3	13	4	8.689258834194094
couple	reside	3	13	4	8.689258834194094
university	suspect	3	13	4	8.689258834194094
25	jan	4	10	7	8.675453034669063
vote	telephone	3	18	3	8.634811050171718
50	average	3	6	9	8.634811050171718
future	steal	3	18	3	8.634811050171718
4	producer	3	18	3	8.634811050171718
vote	teen	3	18	3	8.634811050171718
party	producer	3	18	3	8.634811050171718
course	teen	3	18	3	8.634811050171718
june	joseph	3	18	3	8.634811050171718
exchange	20	3	6	9	8.634811050171718
internet	hang	3	9	6	8.634811050171718
party	telephone	3	18	3	8.634811050171718
future	telephone	3	18	3	8.634811050171718
prison	conference	3	6	9	8.634811050171718
expect	teen	3	18	3	8.634811050171718
husband	brother	4	9	8	8.634811050171718
treatment	station	3	9	6	8.634811050171718
e	mail	3	9	6	8.634811050171718
exchange	round	3	6	9	8.634811050171718
fish	valid	3	9	6	8.634811050171718
drug	brandon	3	11	5	8.608338838810527
shop	bill	3	5	11	8.608338838810527
release	sister	3	11	5	8.608338838810527
baptist	retire	3	5	11	8.608338838810527
response	tunnel	3	14	4	8.582343630277583
factor	professional	3	8	7	8.582343630277583
former	pace	3	8	7	8.582343630277583
13	former	3	7	8	8.582343630277583
texas	obviously	3	8	7	8.582343630277583
factor	29	3	8	7	8.582343630277583
totally	software	3	14	4	8.582343630277583
meat	brother	3	7	8	8.582343630277583
23	jan	3	8	7	8.582343630277583
variety	player	3	4	14	8.582343630277583
24	2014	3	7	8	8.582343630277583
positive	fix	3	8	7	8.582343630277583
above	moving	4	15	5	8.57591736111815
seven	strikeouts	3	19	3	8.556808538170445
ace	dig	5	9	11	8.497307526421784
hour	suspect	3	15	4	8.482807956726667
measure	cemetery	3	12	5	8.482807956726667
access	hang	3	10	6	8.482807956726667
sign	shop	3	12	5	8.482807956726667
sign	beer	3	12	5	8.482807956726667
station	store	3	6	10	8.482807956726667
dinner	exchange	3	10	6	8.482807956726667
16	force	3	10	6	8.482807956726667
16	50	3	10	6	8.482807956726667
summer	hang	3	10	6	8.482807956726667
martin	marketed	3	6	10	8.482807956726667
past	suspect	3	15	4	8.482807956726667
outstanding	17	3	5	12	8.482807956726667
protect	station	3	10	6	8.482807956726667
variety	hour	3	4	15	8.482807956726667
prison	guard	3	6	10	8.482807956726667
exchange	store	3	6	10	8.482807956726667
class	baker	3	21	3	8.41241862883527
officer	baker	3	21	3	8.41241862883527
care	baker	3	21	3	8.41241862883527
church	baptist	5	21	5	8.41241862883527
conduct	round	3	7	9	8.41241862883527
meat	husband	3	7	9	8.41241862883527
below	war	3	7	9	8.41241862883527
foundation	organize	3	9	7	8.41241862883527
round	arrive	3	9	7	8.41241862883527
avenue	west	3	7	9	8.41241862883527
resource	pride	3	9	7	8.41241862883527
funeral	arrangement	4	14	6	8.41241862883527
13	round	3	7	9	8.41241862883527
average	oct	3	9	7	8.41241862883527
arrive	waste	3	7	9	8.41241862883527
lie	confuse	3	9	7	8.41241862883527
officer	moody	3	21	3	8.41241862883527
along	damage	3	7	9	8.41241862883527
care	producer	3	21	3	8.41241862883527
bank	single	3	9	7	8.41241862883527
per	along	3	9	7	8.41241862883527
notice	brother	3	8	8	8.389698552335187
position	suspect	3	16	4	8.389698552335187
base	software	3	16	4	8.389698552335187
athlete	ball	3	4	16	8.389698552335187
ball	authority	3	16	4	8.389698552335187
brother	2014	3	8	8	8.389698552335187
base	variety	3	16	4	8.389698552335187
background	attitude	3	8	8	8.389698552335187
either	2014	3	8	8	8.389698552335187
either	brother	3	8	8	8.389698552335187
rush	far	3	6	11	8.345304432976732
private	prison	3	11	6	8.345304432976732
rush	window	3	6	11	8.345304432976732
history	decade	3	22	3	8.345304432976732
process	teen	3	22	3	8.345304432976732
12	ann	3	11	6	8.345304432976732
12	former	4	11	8	8.345304432976732
creek	retire	3	6	11	8.345304432976732
auction	accident	3	6	11	8.345304432976732
12	wilson	3	11	6	8.345304432976732
cupboard	storage	3	6	11	8.345304432976732
brother	release	4	8	11	8.345304432976732
dinner	round	4	10	9	8.312882955284355
hospital	force	4	15	6	8.312882955284355
variety	fund	3	4	17	8.302235711084847
arrest	suspect	3	17	4	8.302235711084847
definitely	tunnel	3	17	4	8.302235711084847
information	suspect	3	17	4	8.302235711084847
sheriff	office	4	7	13	8.296941411415334
parent	13	4	13	7	8.296941411415334
pay	producer	3	23	3	8.281174095557017
producer	kid	3	3	23	8.281174095557017
bear	1943	3	23	3	8.281174095557017
include	teen	3	23	3	8.281174095557017
line	moody	3	23	3	8.281174095557017
both	reveal	3	23	3	8.281174095557017
funeral	tackle	3	14	5	8.26041553539022
transport	trip	3	5	14	8.26041553539022
memorial	seat	3	10	7	8.26041553539022
monday	29	3	10	7	8.26041553539022
co	marketed	3	7	10	8.26041553539022
13	active	3	7	10	8.26041553539022
dinner	13	3	10	7	8.26041553539022
outstanding	funeral	3	5	14	8.26041553539022
outstanding	serious	3	5	14	8.26041553539022
transport	stay	3	5	14	8.26041553539022
funeral	transport	3	14	5	8.26041553539022
totally	baptist	3	14	5	8.26041553539022
artist	professional	3	10	7	8.26041553539022
memorial	complicate	3	10	7	8.26041553539022
double	beer	3	14	5	8.26041553539022
16	13	3	10	7	8.26041553539022
national	cemetery	3	14	5	8.26041553539022
dinner	conduct	3	10	7	8.26041553539022
30	average	5	13	9	8.256299426917987
vote	variety	3	18	4	8.219773550892874
